normalized_title,jobs_count,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,review_action,review_esco_id,review_esco_label,review_notes
account_executive,152,2a04a1df-a3b9-403e-a245-e7f93fdddd44 | executive assistant | score=0.333,2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d | sales account manager | score=0.250,4be4ea31-1211-4f0c-82bb-f6fe10791f4d | airport chief executive | score=0.250,5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6 | bank account manager | score=0.250,6c3fd65e-2d24-47d8-bc22-9e93512bdcc2 | chief executive officer | score=0.250,,,,
manager,144,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b | accounting manager | score=0.500,0552ff45-b282-455c-b431-fb05a0e00801 | foundry manager | score=0.500,080fc550-b7ca-4576-aaf5-06fffbede994 | spa manager | score=0.500,0917ab6b-18a8-4cfd-8e7a-843b88cf9457 | branch manager | score=0.500,0ecedad1-1144-45ff-83db-a3c4db393036 | investment manager | score=0.500,,,,
marketing_specialist,57,18e14e61-495b-44cc-a7c6-df4c625934ba | specialist nurse | score=0.333,2339733d-5a37-4031-b587-db28848e4958 | foreclosure specialist | score=0.333,4791e217-d607-40d5-9f84-df1d0a071cbc | marketing consultant | score=0.333,47e81c7f-2d04-4a60-a8ff-9913c36d8344 | marketing assistant | score=0.333,6fcf4638-e7c7-4978-9302-9a7b63a3d57c | marketing manager | score=0.333,,,,
operations_specialist,27,18e14e61-495b-44cc-a7c6-df4c625934ba | specialist nurse | score=0.333,2339733d-5a37-4031-b587-db28848e4958 | foreclosure specialist | score=0.333,7a523273-9fff-4f11-beb6-110eeaec1436 | recycling specialist | score=0.333,86c892cf-09a3-44c8-b9d1-814d93dbcbb4 | warfare specialist | score=0.333,8db28ebf-8818-4639-aa49-30324901836e | specialist pharmacist | score=0.333,,,,
product_designer,19,06f89f2c-c6e9-40c5-a4a5-0e34d5fbc184 | footwear designer | score=0.333,07c2287f-3caa-4128-b7c8-59801084d931 | puppet designer | score=0.333,0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef | textile designer | score=0.333,1d8f8111-79dd-41dc-aa2a-12f3192dde3c | automotive designer | score=0.333,30ed83ba-cc89-4d9f-a59d-5c783c1da56e | web designer | score=0.333,,,,
