role_family,count
software_engineering,587
sales,319
other,225
consulting,147
data_analytics,77
operations,75
marketing,74
business_analysis,62
product_management,56
program_management,46
architecture,41
finance,34
it_operations,33
data_engineering,32
design,27
customer_success,25
partnerships,24
data_science,21
machine_learning,20
hr,19
sre,15
devops,12
recruiting,11
legal,8
executive_leadership,7
strategy,2
healthcare,1
