job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
400,greenhouse,6643476,https://job-boards.greenhouse.io/canonical/jobs/6643476,canonical,Product Manager - AI,Product Manager - AI,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_manager,product_management,senior,,remote,Home based - EMEA,,,,,Product Manager,product_management,,,1,bachelor,,,remote,,Home based - EMEA,,senior,,,,,,,,in_review,timeout_error: timed out | rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,timeout_error|location_without_country,timeout_error,1
1917,greenhouse,7559563,https://job-boards.greenhouse.io/capco/jobs/7559563,capco,Senior Full Stack Developer - Java Spring Boot & React.js (Thai Speaker),Senior Full Stack Developer - Java Spring Boot & React.js (Thai Speaker),"About Capco Capco, a Wipro company, is a global technology and management consultancy specializing in driving digital transformation in the financial services industry. With a growing client portfolio comprising of over 100 global organizations, Capco operates at the intersection of business and technology by combining innovative thinking with unrivalled industry knowledge to deliver end-to-end data-driven solutions and fast-track digital initiatives for banking and payments, capital markets, wealth and asset management, insurance, and the energy sector. Capco’s cutting-edge ingenuity is broug",fullstack_engineer,fullstack,senior,,hybrid,Thailand - Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,todo,timeout_error: timed out,ollama,qwen2.5:7b,0.000,1,timeout_error|low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,timeout_error,5
1377,greenhouse,7115125,https://job-boards.greenhouse.io/appier/jobs/7115125,appier,"Enterprise Solution Sales, Japan","Enterprise Solution Sales, Japan",Appierグループは2012年に台湾で創業。Appier Japan株式会社は2014年にAppierグループの日本拠点として設立。最終親会社のAppier Group株式会社は東京証券取引所のプライム市場に上場しています。AIを活用したSaaS/AssA( AI-native Agentic AI) の提供を通して、企業のマーケティング課題の解決やROIの向上を支援しています。 【仕事内容】 エンタープライズソリューションセールスマネージャーは、当社のマーケティング向けAISaaSの新規顧客や既存顧客への販売を担当していただきます。 【応募資格】 【必須（MUST）】 ・ソフトウェアの販売経験3年以上 【歓迎（WANT）】 ・デジタルマーケティング、データやAI SaaS経験 &nbsp; 【会社概要】 最先端のAI技術を活用し、マーケティングの課題を解決するSaaS企業です。世界17拠点を展開し、既に1800社以上の企業を支援しています。 『ソフトウェアをよりスマートに、AIでROIを向上させる』 東京証券取引所プライム市場上場 ( Appier Group 証券コード：4180) 🔹 安定性 × イノベーション 最先端のAI業界で活動しながらも、大きく利益を創出。年間平均40%以上の売上成長を達成しています! 🔹 世界トップクラスのR&amp;Dチーム 研究開発チームは、A,sales_representative,sales,,,hybrid,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,todo,timeout_error: timed out,ollama,qwen2.5:7b,0.000,1,timeout_error|low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,timeout_error,5
10,greenhouse,7565149,https://job-boards.greenhouse.io/omadahealth/jobs/7565149,omadahealth,"Senior Accountant, Financial Reporting & Technical Accounting","Senior Accountant, Financial Reporting & Technical Accounting","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: The Senior Accountant, Financial Reporting &amp; Technical Accounting, will be a crucial member of our finance team, responsible for maintaining the accuracy and reliability of our financial reports. This position requires thorough knowledge of SEC regulations and U.S. GAAP, with the ability to support the financial reporting processes and provide insights on technical accounting matters. The role involves collaborating with various departments and contributing to process",accountant,finance,senior,,remote,Remote,,103960,129950,USD,,,,,,,,,,,,,,,,,,,,,todo,timeout_error: timed out,ollama,qwen2.5:7b,0.000,1,timeout_error|low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,timeout_error,5
1672,greenhouse,7610059,https://job-boards.greenhouse.io/capco/jobs/7610059,capco,Engenheiro(a) Sênior de Data & Analytics (Microsoft Fabric & Power BI) — Marketing Analytics | Inglês,Engenheiro(a) Sênior de Data & Analytics (Microsoft Fabric & Power BI) — Marketing Analytics | Inglês,"A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros e energia, somos apaixonados por ajudar nossos clientes, temos 40 escritórios nas Américas, Europa e Ásia-Pacífico! Se criatividade e inovação são sua paixão, a Capco é ideal para você. Vamos te apoiar e ajudar a acelerar sua carreira! Estamos buscando um(a) Engenheiro(a)&nbsp;sênior com atuação prática (hands-on) para projetar, construir e operar soluções corporativas em Microsoft Fabric (lakehouse) e Power BI voltadas para analytics de marketing e clientes. Responsável pela entrega de ponta a p",marketing_specialist,marketing,associate,,,Brazil - Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,todo,timeout_error: timed out,ollama,qwen2.5:7b,0.000,1,timeout_error|low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,timeout_error,5
886,greenhouse,5809260004,https://job-boards.greenhouse.io/grafanalabs/jobs/5809260004,grafanalabs,"Staff Software Engineer - Grafana Cloud Observability, Kubernetes Monitoring | United Kingdom | Remote","Staff Software Engineer - Grafana Cloud Observability, Kubernetes Monitoring | United Kingdom | Remote","Grafana Labs is a remote-first, open-source powerhouse. There are more than 20M users of Grafana, the open source visualization tool, around the globe, monitoring everything from beehives to climate change in the Alps. The instantly recognizable dashboards have been spotted everywhere from a NASA launch and Minecraft HQ to Wimbledon and the Tour de France. Grafana Labs also helps more than 3,000 companies -- including Bloomberg, JPMorgan Chase, and eBay -- manage their observability strategies with the Grafana LGTM Stack, which can be run fully managed with Grafana Cloud or self-managed with t",software_engineer,software_engineering,staff,,remote,United Kingdom (Remote),,103958,124750,GBP,,,,,,,,,,,,,,,,,,,,,todo,timeout_error: timed out,ollama,qwen2.5:7b,0.000,1,timeout_error|low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,timeout_error,5
