role_family,count
software_engineering,528
sales,318
operations,192
other,174
consulting,147
data_analytics,77
business_analysis,62
marketing,61
product_management,56
backend,39
architecture,36
data_engineering,32
it_operations,28
finance,27
recruiting,27
design,23
data_science,21
machine_learning,20
customer_success,19
hr,18
fullstack,18
sre,15
partnerships,14
program_management,14
devops,12
legal,8
executive_leadership,7
frontend,4
strategy,2
healthcare,1
