role_family,count
other,6654
software_engineering,5056
sales,2560
operations,792
marketing,535
consulting,517
product_management,516
data_analytics,497
program_management,351
finance,316
customer_success,289
legal,275
design,203
data_science,175
architecture,175
recruiting,171
data_engineering,165
it_operations,140
machine_learning,128
sre,118
devops,102
business_analysis,98
hr,76
partnerships,65
executive_leadership,14
strategy,11
healthcare,1
