cluster_key,sample_titles,count,proposed_action,proposed_normalized_title,proposed_role_family,confidence_score,rationale
sig::banco_de_talentos,Banco de Talentos,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::banco_de_talentos_energia,Banco de Talentos - Energia,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::banco_de_talentos_java,Banco de Talentos - JAVA,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::banco_de_talentos_product,Banco de Talentos - Product Owner,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::banco_de_talentos_python,Banco de Talentos - Python,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::brand_designer,Senior Brand Designer,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::brand_media,Brand Media Lead,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::business_analysis_transaction_reporting,Senior Business Analysis - Transaction reporting/Regulatory reporting,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campaign_analyst,Campaign Analyst,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campaign_executive,Campaign Executive,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campus_recruitment_coordinator,Campus Recruitment Coordinator,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::capital_resilience,Capital Resilience,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::chicago_graduate_trader_programme,Chicago Graduate Trader Programme 2026,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::client,Client Lead (Insurance/Banking),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::client_engagement_partner_fsi,Client Engagement Partner - FSI,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::client_engagement_partner_manufacturing,Client Engagement Partner - Manufacturing / Automotive,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::clm_expert,CLM Expert,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::commercial_canada,Commercial Director - Canada,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::commercial_ops_analyst,Commercial Ops Analyst,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::communication_and_engagement_specialist,Communication and Engagement Specialist,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::communication_trade_surveillance_experienced,Communication/Trade Surveillance - Experienced Hires,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::copilot_architect_pune,Copilot Architect - Pune,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::country_the_netherlands,Country Lead The Netherlands,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::creative_strategist_hybrid_istanbul,"Senior Creative Strategist (UI Design) - Hybrid, Istanbul",1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_care,"Director, Customer Care",1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_education_and_certification,Customer Education and Certification Lead,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_reference_specialist,Customer Reference Specialist (Contract),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_transformation_advisor,Customer Transformation Advisor,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::delivery_corporate_banking_implementation,Delivery Lead – Corporate Banking Implementation (She/He/They),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::desenvolvedor_backend_exclusivo_para,Desenvolvedor Backend Junior - Exclusivo para Pessoas com Deficiência,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::desenvolvedor_backend_node_js,Desenvolvedor(a) Backend - Node.js,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
