source_job_id,url,title_clean,old_country,new_country,old_currency,new_currency,city,location_type
6056462002,https://job-boards.greenhouse.io/gomotive/jobs/6056462002,SMB Account Executive - Outbound Sales,,PK,,,Islamabad & Lahore,hybrid
6056466002,https://job-boards.greenhouse.io/gomotive/jobs/6056466002,"SMB Account Executive, Outbound Sales",,PK,,,Islamabad & Lahore,hybrid
7817945002,https://job-boards.greenhouse.io/gomotive/jobs/7817945002,Sr. Sales Engineer,,MX,,,Mexico City,hybrid
8305505002,https://job-boards.greenhouse.io/gomotive/jobs/8305505002,"Staff Product Manager, Vision (Founding New Product)",US,US,,USD,,remote
7941129002,https://job-boards.greenhouse.io/gomotive/jobs/7941129002,"Strategic Account Executive, Mexico",US,MX,,,,onsite
8355409002,https://job-boards.greenhouse.io/gomotive/jobs/8355409002,Team Lead Data Annotator,,MX,,,Mexico City,
8021084002,https://job-boards.greenhouse.io/gomotive/jobs/8021084002,Technical Account Manager,,PK,,,,remote
8021079002,https://job-boards.greenhouse.io/gomotive/jobs/8021079002,Technical Account Manager - Enterprise,,PK,,,,remote
8021070002,https://job-boards.greenhouse.io/gomotive/jobs/8021070002,Technical Account Manager - MMC,,PK,,,Pakistan - Karachi,remote
6903824002,https://job-boards.greenhouse.io/gomotive/jobs/6903824002,Technical Support Engineer,,PK,,,,remote
8021088002,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,Technical Support Eng- MM/CMRL,US,PK,,,,remote
6533318002,https://job-boards.greenhouse.io/gomotive/jobs/6533318002,Technical Support Specialist - Spanish,,PK,,,,remote
8240269002,https://job-boards.greenhouse.io/gomotive/jobs/8240269002,Technology Program Analyst II,,PK,,,,remote
7814541002,https://job-boards.greenhouse.io/gomotive/jobs/7814541002,Trial Success Manager (Central),US,US,,USD,,onsite
8376670002,https://job-boards.greenhouse.io/gomotive/jobs/8376670002,Trial Success Manager (East),US,US,,USD,,onsite
8376673002,https://job-boards.greenhouse.io/gomotive/jobs/8376673002,Trial Success Manager (Mountains),US,US,,USD,,onsite
8342277002,https://job-boards.greenhouse.io/gomotive/jobs/8342277002,Winback Specialist,,PK,,,,remote
7267406,https://job-boards.greenhouse.io/canonical/jobs/7267406,Beijing Office Administrator,,CN,,,Beijing,remote
6861186,https://job-boards.greenhouse.io/canonical/jobs/6861186,"Channel Partner Sales Executive, Japan",,JP,,,,hybrid
5279390,https://job-boards.greenhouse.io/canonical/jobs/5279390,"Cloud Support Engineer, Japan",,JP,,,,remote
7599651,https://job-boards.greenhouse.io/canonical/jobs/7599651,"Dedicated Cloud Support Engineer, Saudi Arabia",,SA,,,,remote
6224403,https://job-boards.greenhouse.io/canonical/jobs/6224403,Embedded Linux Consultant - Japan,,JP,,,,remote
3362765,https://job-boards.greenhouse.io/canonical/jobs/3362765,Embedded Linux Field Engineer for Devices/IoT,,JP,,,,remote
6994398,https://job-boards.greenhouse.io/canonical/jobs/6994398,Embedded Linux Field Engineer (Mandarin speaking),,CN,,,,remote
2169848,https://job-boards.greenhouse.io/canonical/jobs/2169848,IoT Field Engineer - China & Region,,CN,,,Home Based - Shenzhen,remote
7440256,https://job-boards.greenhouse.io/canonical/jobs/7440256,LATAM Enterprise Account Executive - Spanish speaker,,CO,,,Home Based - Americas,remote
5560182,https://job-boards.greenhouse.io/canonical/jobs/5560182,Linux Enablement - Software Engineering Manager,,CN,,,Beijing,remote
7561124,https://job-boards.greenhouse.io/canonical/jobs/7561124,Silicon Alliances Ecosystem Development Manager - Shanghai or Beijing,,CN,,,Beijing,remote
5560784,https://job-boards.greenhouse.io/canonical/jobs/5560784,"Software Engineer, Ubuntu Commercial Computers",,CN,,,Beijing,remote
