new_normalized_title,new_role_family,count,sample_title
general_application,recruiting,12,Summernaut Program - AI & Management Consulting (Value Engineering) Summer Intern
solutions_architect,architecture,11,Associate Observability Architect | USA EST| Remote
product_manager,product_management,5,Banco de Talentos - Product Owner
software_engineer,software_engineering,4,Lead Quality Assurance
business_analyst,business_analysis,3,Senior Strategy & Planning Analyst | Ireland | Remote
customer_success_manager,customer_success,2,Career Success Coach
account_manager,sales,2,Client Engagement Partner - FSI
backend_engineer,backend,2,Desenvolvedor(a) Backend - Node.js
