source_job_id,url,title_clean,normalized_title,role_family,reason
4661658005,https://job-boards.greenhouse.io/gleanwork/jobs/4661658005,Product Marketing Manager (Pricing & Packaging),marketing_specialist,marketing,product_title_family_mismatch
4665968005,https://job-boards.greenhouse.io/gleanwork/jobs/4665968005,Sales Recruiter (Contract - Bay Area),sales_representative,sales,hr_title_family_mismatch
4666997005,https://job-boards.greenhouse.io/gleanwork/jobs/4666997005,Sales Recruiter (Contract - Nashville),sales_representative,sales,hr_title_family_mismatch
4667002005,https://job-boards.greenhouse.io/gleanwork/jobs/4667002005,Sales Recruiter (Contract - NYC),sales_representative,sales,hr_title_family_mismatch
4648700005,https://job-boards.greenhouse.io/gleanwork/jobs/4648700005,Senior Salesforce Developer,software_engineer,software_engineering,sales_title_family_mismatch
4637208005,https://job-boards.greenhouse.io/gleanwork/jobs/4637208005,"Software Engineer, Data Foundations",software_engineer,software_engineering,data_title_family_mismatch
4614706005,https://job-boards.greenhouse.io/gleanwork/jobs/4614706005,"Software Engineer, Developer Productivity",software_engineer,software_engineering,product_title_family_mismatch
4428090005,https://job-boards.greenhouse.io/gleanwork/jobs/4428090005,"Software Engineer, Product Backend",software_engineer,software_engineering,product_title_family_mismatch
4012744005,https://job-boards.greenhouse.io/gleanwork/jobs/4012744005,"Software Engineer, Product Backend (India)",software_engineer,software_engineering,product_title_family_mismatch
4378974005,https://job-boards.greenhouse.io/gleanwork/jobs/4378974005,Tech Lead Manager (Full Stack) -- AI Assistant Product,manager,operations,product_title_family_mismatch
5814154004,https://job-boards.greenhouse.io/grafanalabs/jobs/5814154004,Senior Product Counsel | Ireland | Remote,legal_counsel,legal,product_title_family_mismatch
5814142004,https://job-boards.greenhouse.io/grafanalabs/jobs/5814142004,Senior Product Counsel | United Kingdom | Remote,legal_counsel,legal,product_title_family_mismatch
5811263004,https://job-boards.greenhouse.io/grafanalabs/jobs/5811263004,Senior Product Counsel | United States | Remote,legal_counsel,legal,product_title_family_mismatch
5784736004,https://job-boards.greenhouse.io/grafanalabs/jobs/5784736004,"Senior Product Marketing Manager | Canada (EST, CST) | Remote",marketing_specialist,marketing,product_title_family_mismatch
5783881004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783881004,Senior Product Marketing Manager | Germany | Remote,marketing_specialist,marketing,product_title_family_mismatch
5783880004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783880004,Senior Product Marketing Manager | Spain | Remote,marketing_specialist,marketing,product_title_family_mismatch
5783882004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783882004,Senior Product Marketing Manager | Sweden | Remote,marketing_specialist,marketing,product_title_family_mismatch
5783879004,https://job-boards.greenhouse.io/grafanalabs/jobs/5783879004,Senior Product Marketing Manager | United Kingdom | Remote,marketing_specialist,marketing,product_title_family_mismatch
