role_family,count
software_engineering,589
sales,318
other,264
consulting,147
data_analytics,77
marketing,66
business_analysis,62
product_management,56
operations,52
program_management,46
architecture,39
finance,33
data_engineering,32
it_operations,28
design,26
customer_success,25
partnerships,24
data_science,21
machine_learning,20
hr,19
sre,15
devops,12
recruiting,11
legal,8
executive_leadership,7
strategy,2
healthcare,1
