role_family,count
other,6566
software_engineering,5045
sales,2543
operations,788
marketing,529
consulting,517
product_management,512
data_analytics,491
program_management,351
finance,319
customer_success,284
legal,274
design,210
recruiting,187
architecture,176
data_science,175
data_engineering,165
it_operations,140
machine_learning,127
executive_leadership,124
sre,118
business_analysis,103
devops,102
hr,76
partnerships,66
strategy,11
healthcare,1
